費目,写真区分,工種,種別,細別,備考,検索パターン
"共通仮設費","安全管理写真","","","交通保安施設配置状況","","交通保安施設"
"共通仮設費","安全管理写真","","","","安全朝礼実施状況","朝礼|安全ミーティング"
"共通仮設費","安全管理写真","","","","KY活動状況","KY|危険予知"
"共通仮設費","安全管理写真","","","","重機始業前点検","重機始業前点検|始業前点検"
"共通仮設費","安全管理写真","","","","安全パトロール","安全パトロール|安全パトロール実施状況|パトロール"
"共通仮設費","安全管理写真","","","","社外安全パトロール","社外安全パトロール|社外パトロール"
"共通仮設費","安全管理写真","","","","安全訓練実施状況","安全訓練"
"共通仮設費","安全管理写真","舗装工","","安全協議会活動","区画線施工説明会","区画線.*施工説明|施工説明.*区画線"
"共通仮設費","安全管理写真","舗装工","","安全協議会活動","施工検討会","施工検討会|施工検討"
"共通仮設費","安全管理写真","舗装工","","安全協議会活動","安全朝礼実施状況","安全朝礼|朝礼.*実施"
"直接工事費","着手前及び完成写真","","","","竣工写真","竣工"
"直接工事費","施工状況写真","","","","本検査実施状況","本検査|工事完成検査|完成検査"
