費目,写真区分,工種,種別,細別,備考,検索パターン
"直接工事費","施工状況写真","区画線工","区画線工","溶融式区画線","清掃状況",""
"直接工事費","施工状況写真","区画線工","区画線工","溶融式区画線","プライマー散布状況",""
"直接工事費","施工状況写真","区画線工","区画線工","溶融式区画線","区画線設置状況",""
"直接工事費","施工状況写真","区画線工","区画線工","溶融式区画線","完了",""
"直接工事費","施工状況写真","区画線工","区画線工","仮区画線","",""
"直接工事費","施工状況写真","区画線工","区画線工","仮区画線","仮ラインテープ設置状況","仮ライン|ラインテープ"
"直接工事費","出来形管理写真","区画線工","区画線工","溶融式区画線","テストピース厚さ確認","テストピース.*厚"
"直接工事費","出来形管理写真","区画線工","区画線工","溶融式区画線","テストピース幅確認","テストピース.*幅"
"直接工事費","使用材料写真","区画線工","区画線工","溶融式区画線","材料保管状況","保管"
"直接工事費","その他","区画線工","","","使用機械",""
