費目,写真区分,工種,種別,細別,備考,検索パターン
"直接工事費","安全管理写真","","","朝礼状況","",""
"直接工事費","安全管理写真","","","KY活動状況","",""
"直接工事費","安全管理写真","","","新規入場者教育状況","",""
"直接工事費","安全管理写真","","","保安施設設置状況","",""
"直接工事費","安全管理写真","","","交通保安施設配置状況","","交通保安施設"
"直接工事費","安全管理写真","","","点灯確認状況","",""
"直接工事費","安全管理写真","","","安全巡視状況","",""
"現場管理費","安全管理写真","","","","朝礼",""
"現場管理費","安全管理写真","","","","KY活動",""
"現場管理費","安全管理写真","","","","新規入場者教育",""
"現場管理費","安全管理写真","舗装工","","","重機始業前点検",""
"現場管理費","安全管理写真","","","","安全パトロール",""
"現場管理費","安全管理写真","","","","店社安全パトロール",""
"現場管理費","安全管理写真","","","","社外安全パトロール",""
